"year","teamName","LeagueAbbr"
2020,"Navy","Patriot"
2010,"NC A&T State","MEAC"
2011,"NC A&T State","MEAC"
2012,"NC A&T State","MEAC"
2013,"NC A&T State","MEAC"
2014,"NC A&T State","MEAC"
2015,"NC A&T State","MEAC"
2016,"NC A&T State","MEAC"
2017,"NC A&T State","MEAC"
2018,"NC A&T State","MEAC"
2019,"NC A&T State","MEAC"
2020,"NC A&T State","MEAC"
2010,"NC State","ACC"
2011,"NC State","ACC"
2012,"NC State","ACC"
2013,"NC State","ACC"
2014,"NC State","ACC"
2015,"NC State","ACC"
2016,"NC State","ACC"
2017,"NC State","ACC"
2018,"NC State","ACC"
2019,"NC State","ACC"
2020,"NC State","ACC"
2010,"Nebraska","Big12"
2011,"Nebraska","Big12"
2012,"Nebraska","Big10"
2013,"Nebraska","Big10"
2014,"Nebraska","Big10"
2015,"Nebraska","Big10"
2016,"Nebraska","Big10"
2017,"Nebraska","Big10"
2018,"Nebraska","Big10"
2019,"Nebraska","Big10"
2020,"Nebraska","Big10"
2012,"Nebraska at Omaha","IndyNCAA"
2013,"Nebraska at Omaha","Summ"
2014,"Nebraska at Omaha","Summ"
2015,"Nebraska at Omaha","Summ"
2016,"Nebraska at Omaha","Summ"
2017,"Nebraska at Omaha","Summ"
2018,"Nebraska at Omaha","Summ"
2019,"Nebraska at Omaha","Summ"
2020,"Nebraska at Omaha","Summ"
2010,"Nevada","WAC"
2011,"Nevada","WAC"
2012,"Nevada","WAC"
2013,"Nevada","MWC"
2014,"Nevada","MWC"
2015,"Nevada","MWC"
2016,"Nevada","MWC"
2017,"Nevada","MWC"
2018,"Nevada","MWC"
2019,"Nevada","MWC"
2020,"Nevada","MWC"
2010,"New Jersey Tech","GWC"
2011,"New Jersey Tech","GWC"
2012,"New Jersey Tech","GWC"
2013,"New Jersey Tech","GWC"
2014,"New Jersey Tech","IndyNCAA"
2015,"New Jersey Tech","IndyNCAA"
2016,"New Jersey Tech","AtlSun"
2017,"New Jersey Tech","AtlSun"
2018,"New Jersey Tech","AtlSun"
2019,"New Jersey Tech","AtlSun"
2020,"New Jersey Tech","AtlSun"
2010,"New Mexico","MWC"
2011,"New Mexico","MWC"
2012,"New Mexico","MWC"
2013,"New Mexico","MWC"
2014,"New Mexico","MWC"
2015,"New Mexico","MWC"
2016,"New Mexico","MWC"
2017,"New Mexico","MWC"
2018,"New Mexico","MWC"
2019,"New Mexico","MWC"
2020,"New Mexico","MWC"
2010,"New Mexico State","WAC"
2011,"New Mexico State","WAC"
2012,"New Mexico State","WAC"
2013,"New Mexico State","WAC"
2014,"New Mexico State","WAC"
2015,"New Mexico State","WAC"
2016,"New Mexico State","WAC"
2017,"New Mexico State","WAC"
2018,"New Mexico State","WAC"
2019,"New Mexico State","WAC"
2020,"New Mexico State","WAC"
2010,"New Orleans","SBC"
2011,"New Orleans","IndyNCAA"
2014,"New Orleans","Sthland"
2015,"New Orleans","Sthland"
2016,"New Orleans","Sthland"
2017,"New Orleans","Sthland"
2018,"New Orleans","Sthland"
2019,"New Orleans","Sthland"
2020,"New Orleans","Sthland"
2010,"New York Tech","GWC"
2011,"New York Tech","GWC"
2012,"New York Tech","GWC"
2013,"New York Tech","GWC"
2014,"New York Tech","IndyNCAA"
2015,"New York Tech","IndyNCAA"
2016,"New York Tech","IndyNCAA"
2017,"New York Tech","IndyNCAA"
2018,"New York Tech","IndyNCAA"
2010,"Niagara","MAAC"
2011,"Niagara","MAAC"
2012,"Niagara","MAAC"
2013,"Niagara","MAAC"
2014,"Niagara","MAAC"
2015,"Niagara","MAAC"
2016,"Niagara","MAAC"
2017,"Niagara","MAAC"
2018,"Niagara","MAAC"
2019,"Niagara","MAAC"
2020,"Niagara","MAAC"
2010,"Nicholls State","Sthland"
2011,"Nicholls State","Sthland"
2012,"Nicholls State","Sthland"
2013,"Nicholls State","Sthland"
2014,"Nicholls State","Sthland"
2015,"Nicholls State","Sthland"
2016,"Nicholls State","Sthland"
2017,"Nicholls State","Sthland"
2018,"Nicholls State","Sthland"
2019,"Nicholls State","Sthland"
2020,"Nicholls State","Sthland"
2010,"Norfolk State","MEAC"
2011,"Norfolk State","MEAC"
2012,"Norfolk State","MEAC"
2013,"Norfolk State","MEAC"
2014,"Norfolk State","MEAC"
2015,"Norfolk State","MEAC"
2016,"Norfolk State","MEAC"
2017,"Norfolk State","MEAC"
2018,"Norfolk State","MEAC"
2019,"Norfolk State","MEAC"
2020,"Norfolk State","MEAC"
2019,"North Alabama","AtlSun"
2020,"North Alabama","AtlSun"
2010,"North Carolina","ACC"
2011,"North Carolina","ACC"
2012,"North Carolina","ACC"
2013,"North Carolina","ACC"
2014,"North Carolina","ACC"
2015,"North Carolina","ACC"
2016,"North Carolina","ACC"
2017,"North Carolina","ACC"
2018,"North Carolina","ACC"
2019,"North Carolina","ACC"
2020,"North Carolina","ACC"
2010,"North Carolina Central","IndyNCAA"
2011,"North Carolina Central","IndyNCAA"
2012,"North Carolina Central","MEAC"
2013,"North Carolina Central","MEAC"
2014,"North Carolina Central","MEAC"
2015,"North Carolina Central","MEAC"
2016,"North Carolina Central","MEAC"
2017,"North Carolina Central","MEAC"
2018,"North Carolina Central","MEAC"
2019,"North Carolina Central","MEAC"
2020,"North Carolina Central","MEAC"
2010,"North Dakota","GWC"
2011,"North Dakota","GWC"
2012,"North Dakota","GWC"
2013,"North Dakota","GWC"
2014,"North Dakota","WAC"
2015,"North Dakota","WAC"
2016,"North Dakota","WAC"
2010,"North Dakota State","Summ"
2011,"North Dakota State","Summ"
2012,"North Dakota State","Summ"
2013,"North Dakota State","Summ"
2014,"North Dakota State","Summ"
2015,"North Dakota State","Summ"
2016,"North Dakota State","Summ"
2017,"North Dakota State","Summ"
2018,"North Dakota State","Summ"
2019,"North Dakota State","Summ"
2020,"North Dakota State","Summ"
2010,"North Florida","AtlSun"
2011,"North Florida","AtlSun"
2012,"North Florida","AtlSun"
2013,"North Florida","AtlSun"
2014,"North Florida","AtlSun"
2015,"North Florida","AtlSun"
2016,"North Florida","AtlSun"
2017,"North Florida","AtlSun"
2018,"North Florida","AtlSun"
2019,"North Florida","AtlSun"
2020,"North Florida","AtlSun"
2010,"Northeastern","CAA"
2011,"Northeastern","CAA"
2012,"Northeastern","CAA"
2013,"Northeastern","CAA"
2014,"Northeastern","CAA"
2015,"Northeastern","CAA"
2016,"Northeastern","CAA"
2017,"Northeastern","CAA"
2018,"Northeastern","CAA"
2019,"Northeastern","CAA"
2020,"Northeastern","CAA"
2010,"Northern Colorado","GWC"
2011,"Northern Colorado","GWC"
2012,"Northern Colorado","GWC"
2013,"Northern Colorado","GWC"
2014,"Northern Colorado","WAC"
2015,"Northern Colorado","WAC"
2016,"Northern Colorado","WAC"
2017,"Northern Colorado","WAC"
2018,"Northern Colorado","WAC"
2019,"Northern Colorado","WAC"
2020,"Northern Colorado","WAC"
2010,"Northern Illinois","MAC"
2011,"Northern Illinois","MAC"
2012,"Northern Illinois","MAC"
2013,"Northern Illinois","MAC"
2014,"Northern Illinois","MAC"
2015,"Northern Illinois","MAC"
2016,"Northern Illinois","MAC"
2017,"Northern Illinois","MAC"
2018,"Northern Illinois","MAC"
2019,"Northern Illinois","MAC"
2020,"Northern Illinois","MAC"
2013,"Northern Kentucky","AtlSun"
2014,"Northern Kentucky","AtlSun"
2015,"Northern Kentucky","AtlSun"
2016,"Northern Kentucky","Horiz"
2017,"Northern Kentucky","Horiz"
2018,"Northern Kentucky","Horiz"
2019,"Northern Kentucky","Horiz"
2020,"Northern Kentucky","Horiz"
2010,"Northwestern","Big10"
2011,"Northwestern","Big10"
2012,"Northwestern","Big10"
2013,"Northwestern","Big10"
2014,"Northwestern","Big10"
2015,"Northwestern","Big10"
2016,"Northwestern","Big10"
2017,"Northwestern","Big10"
2018,"Northwestern","Big10"
2019,"Northwestern","Big10"
2020,"Northwestern","Big10"
2010,"Northwestern State","Sthland"
2011,"Northwestern State","Sthland"
2012,"Northwestern State","Sthland"
2013,"Northwestern State","Sthland"
2014,"Northwestern State","Sthland"
2015,"Northwestern State","Sthland"
2016,"Northwestern State","Sthland"
2017,"Northwestern State","Sthland"
2018,"Northwestern State","Sthland"
2019,"Northwestern State","Sthland"
2020,"Northwestern State","Sthland"
2010,"Notre Dame","BigEast"
2011,"Notre Dame","BigEast"
2012,"Notre Dame","BigEast"
2013,"Notre Dame","BigEast"
2014,"Notre Dame","ACC"
2015,"Notre Dame","ACC"
2016,"Notre Dame","ACC"
2017,"Notre Dame","ACC"
2018,"Notre Dame","ACC"
2019,"Notre Dame","ACC"
2020,"Notre Dame","ACC"
2010,"Oakland","Summ"
2011,"Oakland","Summ"
2012,"Oakland","Summ"
2013,"Oakland","Summ"
2014,"Oakland","Horiz"
2015,"Oakland","Horiz"
2016,"Oakland","Horiz"
2017,"Oakland","Horiz"
2018,"Oakland","Horiz"
2019,"Oakland","Horiz"
2020,"Oakland","Horiz"
2010,"Ohio","MAC"
2011,"Ohio","MAC"
2012,"Ohio","MAC"
2013,"Ohio","MAC"
2014,"Ohio","MAC"
2015,"Ohio","MAC"
2016,"Ohio","MAC"
2017,"Ohio","MAC"
2018,"Ohio","MAC"
2019,"Ohio","MAC"
2020,"Ohio","MAC"
2010,"Ohio State","Big10"
2011,"Ohio State","Big10"
2012,"Ohio State","Big10"
2013,"Ohio State","Big10"
2014,"Ohio State","Big10"
2015,"Ohio State","Big10"
2016,"Ohio State","Big10"
2017,"Ohio State","Big10"
2018,"Ohio State","Big10"
2019,"Ohio State","Big10"
2020,"Ohio State","Big10"
2010,"Oklahoma","Big12"
2011,"Oklahoma","Big12"
2012,"Oklahoma","Big12"
2013,"Oklahoma","Big12"
2014,"Oklahoma","Big12"
2015,"Oklahoma","Big12"
2016,"Oklahoma","Big12"
2017,"Oklahoma","Big12"
2018,"Oklahoma","Big12"
2019,"Oklahoma","Big12"
2020,"Oklahoma","Big12"
2010,"Oklahoma State","Big12"
2011,"Oklahoma State","Big12"
2012,"Oklahoma State","Big12"
2013,"Oklahoma State","Big12"
2014,"Oklahoma State","Big12"
2015,"Oklahoma State","Big12"
2016,"Oklahoma State","Big12"
2017,"Oklahoma State","Big12"
2018,"Oklahoma State","Big12"
2019,"Oklahoma State","Big12"
2020,"Oklahoma State","Big12"
2010,"Old Dominion","CAA"
2011,"Old Dominion","CAA"
2012,"Old Dominion","CAA"
2013,"Old Dominion","CAA"
2014,"Old Dominion","ConfUSA"
2015,"Old Dominion","ConfUSA"
2016,"Old Dominion","ConfUSA"
2017,"Old Dominion","ConfUSA"
2018,"Old Dominion","ConfUSA"
2019,"Old Dominion","ConfUSA"
2020,"Old Dominion","ConfUSA"
2010,"Oral Roberts","Summ"
2011,"Oral Roberts","Summ"
2012,"Oral Roberts","Summ"
2013,"Oral Roberts","Sthland"
2014,"Oral Roberts","Sthland"
2015,"Oral Roberts","Summ"
2016,"Oral Roberts","Summ"
2017,"Oral Roberts","Summ"
2018,"Oral Roberts","Summ"
2019,"Oral Roberts","Summ"
2020,"Oral Roberts","Summ"
2010,"Oregon","Pac10"
2011,"Oregon","Pac10"
2012,"Oregon","Pac12"
2013,"Oregon","Pac12"
2014,"Oregon","Pac12"
2015,"Oregon","Pac12"
2016,"Oregon","Pac12"
2017,"Oregon","Pac12"
2018,"Oregon","Pac12"
2019,"Oregon","Pac12"
2020,"Oregon","Pac12"
2010,"Oregon State","Pac10"
2011,"Oregon State","Pac10"
2012,"Oregon State","Pac12"
2013,"Oregon State","Pac12"
2014,"Oregon State","Pac12"
2015,"Oregon State","Pac12"
2016,"Oregon State","Pac12"
2017,"Oregon State","Pac12"
2018,"Oregon State","Pac12"
2019,"Oregon State","Pac12"
2020,"Oregon State","Pac12"
2010,"Pacific","BigWest"
2011,"Pacific","BigWest"
2012,"Pacific","BigWest"
2013,"Pacific","BigWest"
2014,"Pacific","WCC"
2015,"Pacific","WCC"
2016,"Pacific","WCC"
2017,"Pacific","WCC"
2018,"Pacific","WCC"
2019,"Pacific","WCC"
2020,"Pacific","WCC"
2010,"Palm Beach Atlantic","IndyNCAA"
2010,"Penn State","Big10"
2011,"Penn State","Big10"
2012,"Penn State","Big10"
2013,"Penn State","Big10"
2014,"Penn State","Big10"
2015,"Penn State","Big10"
2016,"Penn State","Big10"
2017,"Penn State","Big10"
2018,"Penn State","Big10"
2019,"Penn State","Big10"
2020,"Penn State","Big10"
2010,"Pennsylvania","Ivy"
2011,"Pennsylvania","Ivy"
2012,"Pennsylvania","Ivy"
2013,"Pennsylvania","Ivy"
2014,"Pennsylvania","Ivy"
2015,"Pennsylvania","Ivy"
2016,"Pennsylvania","Ivy"
2017,"Pennsylvania","Ivy"
2018,"Pennsylvania","Ivy"
2019,"Pennsylvania","Ivy"
2020,"Pennsylvania","Ivy"
2010,"Pepperdine","WCC"
2011,"Pepperdine","WCC"
2012,"Pepperdine","WCC"
2013,"Pepperdine","WCC"
2014,"Pepperdine","WCC"
2015,"Pepperdine","WCC"
2016,"Pepperdine","WCC"
2017,"Pepperdine","WCC"
2018,"Pepperdine","WCC"
2019,"Pepperdine","WCC"
2020,"Pepperdine","WCC"
2010,"Pittsburgh","BigEast"
2011,"Pittsburgh","BigEast"
2012,"Pittsburgh","BigEast"
2013,"Pittsburgh","BigEast"
2014,"Pittsburgh","ACC"
2015,"Pittsburgh","ACC"
2016,"Pittsburgh","ACC"
2017,"Pittsburgh","ACC"
2018,"Pittsburgh","ACC"
2019,"Pittsburgh","ACC"
2020,"Pittsburgh","ACC"
2010,"Portland","WCC"
2011,"Portland","WCC"
2012,"Portland","WCC"
2013,"Portland","WCC"
2014,"Portland","WCC"
2015,"Portland","WCC"
2016,"Portland","WCC"
2017,"Portland","WCC"
2018,"Portland","WCC"
2019,"Portland","WCC"
2020,"Portland","WCC"
2010,"Prairie View A&M","SWAC"
2011,"Prairie View A&M","SWAC"
2012,"Prairie View A&M","SWAC"
2013,"Prairie View A&M","SWAC"
2014,"Prairie View A&M","SWAC"
2015,"Prairie View A&M","SWAC"
2016,"Prairie View A&M","SWAC"
2017,"Prairie View A&M","SWAC"
2018,"Prairie View A&M","SWAC"
2019,"Prairie View A&M","SWAC"
2020,"Prairie View A&M","SWAC"
2010,"Presbyterian College","BigSou"
2011,"Presbyterian College","BigSou"
2012,"Presbyterian College","BigSou"
2013,"Presbyterian College","BigSou"
2014,"Presbyterian College","BigSou"
2015,"Presbyterian College","BigSou"
2016,"Presbyterian College","BigSou"
2017,"Presbyterian College","BigSou"
2018,"Presbyterian College","BigSou"
2019,"Presbyterian College","BigSou"
2020,"Presbyterian College","BigSou"
2010,"Princeton","Ivy"
2011,"Princeton","Ivy"
2012,"Princeton","Ivy"
2013,"Princeton","Ivy"
2014,"Princeton","Ivy"
2015,"Princeton","Ivy"
2016,"Princeton","Ivy"
2017,"Princeton","Ivy"
2018,"Princeton","Ivy"
2019,"Princeton","Ivy"
2020,"Princeton","Ivy"
2010,"Purdue","Big10"
2011,"Purdue","Big10"
2012,"Purdue","Big10"
2013,"Purdue","Big10"
2014,"Purdue","Big10"
2015,"Purdue","Big10"
2016,"Purdue","Big10"
2017,"Purdue","Big10"
2018,"Purdue","Big10"
2019,"Purdue","Big10"
2020,"Purdue","Big10"
2010,"Quinnipiac","NEC"
2011,"Quinnipiac","NEC"
2012,"Quinnipiac","NEC"
2013,"Quinnipiac","NEC"
2014,"Quinnipiac","MAAC"
2015,"Quinnipiac","MAAC"
2016,"Quinnipiac","MAAC"
2017,"Quinnipiac","MAAC"
2018,"Quinnipiac","MAAC"
2019,"Quinnipiac","MAAC"
2020,"Quinnipiac","MAAC"
2010,"Radford","BigSou"
2011,"Radford","BigSou"
2012,"Radford","BigSou"
2013,"Radford","BigSou"
2014,"Radford","BigSou"
2015,"Radford","BigSou"
2016,"Radford","BigSou"
2017,"Radford","BigSou"
2018,"Radford","BigSou"
2019,"Radford","BigSou"
2020,"Radford","BigSou"
2010,"Rhode Island","Atl10"
2011,"Rhode Island","Atl10"
2012,"Rhode Island","Atl10"
2013,"Rhode Island","Atl10"
2014,"Rhode Island","Atl10"
2015,"Rhode Island","Atl10"
2016,"Rhode Island","Atl10"
2017,"Rhode Island","Atl10"
2018,"Rhode Island","Atl10"
2019,"Rhode Island","Atl10"
2020,"Rhode Island","Atl10"
2010,"Rice","ConfUSA"
2011,"Rice","ConfUSA"
2012,"Rice","ConfUSA"
2013,"Rice","ConfUSA"
2014,"Rice","ConfUSA"
2015,"Rice","ConfUSA"
2016,"Rice","ConfUSA"
2017,"Rice","ConfUSA"
2018,"Rice","ConfUSA"
2019,"Rice","ConfUSA"
2020,"Rice","ConfUSA"
2010,"Richmond","Atl10"
2011,"Richmond","Atl10"
2012,"Richmond","Atl10"
2013,"Richmond","Atl10"
2014,"Richmond","Atl10"
2015,"Richmond","Atl10"
2016,"Richmond","Atl10"
2017,"Richmond","Atl10"
2018,"Richmond","Atl10"
2019,"Richmond","Atl10"
2020,"Richmond","Atl10"
2010,"Rider","MAAC"
2011,"Rider","MAAC"
2012,"Rider","MAAC"
2013,"Rider","MAAC"
2014,"Rider","MAAC"
2015,"Rider","MAAC"
2016,"Rider","MAAC"
2017,"Rider","MAAC"
2018,"Rider","MAAC"
2019,"Rider","MAAC"
2020,"Rider","MAAC"
2010,"Rutgers","BigEast"
2011,"Rutgers","BigEast"
2012,"Rutgers","BigEast"
2013,"Rutgers","BigEast"
2014,"Rutgers","AAC"
2015,"Rutgers","Big10"
2016,"Rutgers","Big10"
2017,"Rutgers","Big10"
2018,"Rutgers","Big10"
2019,"Rutgers","Big10"
2020,"Rutgers","Big10"
2010,"Sacramento State","WAC"
2011,"Sacramento State","WAC"
2012,"Sacramento State","WAC"
2013,"Sacramento State","WAC"
2014,"Sacramento State","WAC"
2015,"Sacramento State","WAC"
2016,"Sacramento State","WAC"
2017,"Sacramento State","WAC"
2018,"Sacramento State","WAC"
2019,"Sacramento State","WAC"
2020,"Sacramento State","WAC"
2010,"Sacred Heart","NEC"
2011,"Sacred Heart","NEC"
2012,"Sacred Heart","NEC"
2013,"Sacred Heart","NEC"
2014,"Sacred Heart","NEC"
2015,"Sacred Heart","NEC"
2016,"Sacred Heart","NEC"
2017,"Sacred Heart","NEC"
2018,"Sacred Heart","NEC"
2019,"Sacred Heart","NEC"
2020,"Sacred Heart","NEC"
2010,"Saint Joseph's","Atl10"
2011,"Saint Joseph's","Atl10"
2012,"Saint Joseph's","Atl10"
2013,"Saint Joseph's","Atl10"
2014,"Saint Joseph's","Atl10"
2015,"Saint Joseph's","Atl10"
2016,"Saint Joseph's","Atl10"
2017,"Saint Joseph's","Atl10"
2018,"Saint Joseph's","Atl10"
2019,"Saint Joseph's","Atl10"
2020,"Saint Joseph's","Atl10"
2010,"Saint Louis","Atl10"
2011,"Saint Louis","Atl10"
2012,"Saint Louis","Atl10"
2013,"Saint Louis","Atl10"
2014,"Saint Louis","Atl10"
2015,"Saint Louis","Atl10"
2016,"Saint Louis","Atl10"
2017,"Saint Louis","Atl10"
2018,"Saint Louis","Atl10"
2019,"Saint Louis","Atl10"
2020,"Saint Louis","Atl10"
2010,"Saint Peter's","MAAC"
2011,"Saint Peter's","MAAC"
2012,"Saint Peter's","MAAC"
2013,"Saint Peter's","MAAC"
2014,"Saint Peter's","MAAC"
2015,"Saint Peter's","MAAC"
2016,"Saint Peter's","MAAC"
2017,"Saint Peter's","MAAC"
2018,"Saint Peter's","MAAC"
2019,"Saint Peter's","MAAC"
2020,"Saint Peter's","MAAC"
2010,"Sam Houston State","Sthland"
2011,"Sam Houston State","Sthland"
2012,"Sam Houston State","Sthland"
2013,"Sam Houston State","Sthland"
2014,"Sam Houston State","Sthland"
2015,"Sam Houston State","Sthland"
2016,"Sam Houston State","Sthland"
2017,"Sam Houston State","Sthland"
2018,"Sam Houston State","Sthland"
2019,"Sam Houston State","Sthland"
2020,"Sam Houston State","Sthland"
2010,"Samford","SoCon"
2011,"Samford","SoCon"
2012,"Samford","SoCon"
2013,"Samford","SoCon"
2014,"Samford","SoCon"
2015,"Samford","SoCon"
2016,"Samford","SoCon"
2017,"Samford","SoCon"
2018,"Samford","SoCon"
2019,"Samford","SoCon"
2020,"Samford","SoCon"
2010,"San Diego","WCC"
2011,"San Diego","WCC"
2012,"San Diego","WCC"
2013,"San Diego","WCC"
2014,"San Diego","WCC"
2015,"San Diego","WCC"
2016,"San Diego","WCC"
2017,"San Diego","WCC"
2018,"San Diego","WCC"
2019,"San Diego","WCC"
2020,"San Diego","WCC"
2010,"San Diego State","MWC"
2011,"San Diego State","MWC"
2012,"San Diego State","MWC"
2013,"San Diego State","MWC"
2014,"San Diego State","MWC"
2015,"San Diego State","MWC"
2016,"San Diego State","MWC"
2017,"San Diego State","MWC"
2018,"San Diego State","MWC"
2019,"San Diego State","MWC"
2020,"San Diego State","MWC"
2010,"San Francisco","WCC"
2011,"San Francisco","WCC"
2012,"San Francisco","WCC"
2013,"San Francisco","WCC"
2014,"San Francisco","WCC"
2015,"San Francisco","WCC"
2016,"San Francisco","WCC"
2017,"San Francisco","WCC"
2018,"San Francisco","WCC"
2019,"San Francisco","WCC"
2020,"San Francisco","WCC"
2010,"San Jose State","WAC"
2011,"San Jose State","WAC"
2012,"San Jose State","WAC"
2013,"San Jose State","WAC"
2014,"San Jose State","MWC"
2015,"San Jose State","MWC"
2016,"San Jose State","MWC"
2017,"San Jose State","MWC"
2018,"San Jose State","MWC"
2019,"San Jose State","MWC"
2020,"San Jose State","MWC"
2010,"Santa Clara","WCC"
2011,"Santa Clara","WCC"
2012,"Santa Clara","WCC"
2013,"Santa Clara","WCC"
2014,"Santa Clara","WCC"
2015,"Santa Clara","WCC"
2016,"Santa Clara","WCC"
2017,"Santa Clara","WCC"
2018,"Santa Clara","WCC"
2019,"Santa Clara","WCC"
2020,"Santa Clara","WCC"
2010,"Savannah State","IndyNCAA"
2011,"Savannah State","IndyNCAA"
2012,"Savannah State","MEAC"
2013,"Savannah State","MEAC"
2014,"Savannah State","MEAC"
2015,"Savannah State","MEAC"
2016,"Savannah State","MEAC"
2017,"Savannah State","MEAC"
2018,"Savannah State","MEAC"
2019,"Savannah State","MEAC"
2020,"Savannah State","MEAC"
2010,"SE Louisiana","Sthland"
2011,"SE Louisiana","Sthland"
2012,"SE Louisiana","Sthland"
2013,"SE Louisiana","Sthland"
2014,"SE Louisiana","Sthland"
2015,"SE Louisiana","Sthland"
2016,"SE Louisiana","Sthland"
2017,"SE Louisiana","Sthland"
2018,"SE Louisiana","Sthland"
2019,"SE Louisiana","Sthland"
2020,"SE Louisiana","Sthland"
2010,"SE Missouri State","OVC"
2011,"SE Missouri State","OVC"
2012,"SE Missouri State","OVC"
2013,"SE Missouri State","OVC"
2014,"SE Missouri State","OVC"
2015,"SE Missouri State","OVC"
2016,"SE Missouri State","OVC"
2017,"SE Missouri State","OVC"
2018,"SE Missouri State","OVC"
2019,"SE Missouri State","OVC"
2020,"SE Missouri State","OVC"
2010,"Seattle","IndyNCAA"
2011,"Seattle","IndyNCAA"
2012,"Seattle","IndyNCAA"
2013,"Seattle","WAC"
2014,"Seattle","WAC"
2015,"Seattle","WAC"
2016,"Seattle","WAC"
2017,"Seattle","WAC"
2018,"Seattle","WAC"
2019,"Seattle","WAC"
2020,"Seattle","WAC"
2010,"Seton Hall","BigEast"
2011,"Seton Hall","BigEast"
2012,"Seton Hall","BigEast"
2013,"Seton Hall","BigEast"
2014,"Seton Hall","BigEast"
2015,"Seton Hall","BigEast"
2016,"Seton Hall","BigEast"
2017,"Seton Hall","BigEast"
2018,"Seton Hall","BigEast"
2019,"Seton Hall","BigEast"
2020,"Seton Hall","BigEast"
2010,"Siena College","MAAC"
2011,"Siena College","MAAC"
2012,"Siena College","MAAC"
2013,"Siena College","MAAC"
2014,"Siena College","MAAC"
2015,"Siena College","MAAC"
2016,"Siena College","MAAC"
2017,"Siena College","MAAC"
2018,"Siena College","MAAC"
2019,"Siena College","MAAC"
2020,"Siena College","MAAC"
2010,"SIU-Edwardsville","OVC"
2011,"SIU-Edwardsville","IndyNCAA"
2012,"SIU-Edwardsville","OVC"
2013,"SIU-Edwardsville","OVC"
2014,"SIU-Edwardsville","OVC"
2015,"SIU-Edwardsville","OVC"
2016,"SIU-Edwardsville","OVC"
2017,"SIU-Edwardsville","OVC"
2018,"SIU-Edwardsville","OVC"
2019,"SIU-Edwardsville","OVC"
2020,"SIU-Edwardsville","OVC"
2010,"South Alabama","SBC"
2011,"South Alabama","SBC"
2012,"South Alabama","SBC"
2013,"South Alabama","SBC"
2014,"South Alabama","SBC"
2015,"South Alabama","SBC"
2016,"South Alabama","SBC"
2017,"South Alabama","SBC"
2018,"South Alabama","SBC"
2019,"South Alabama","SBC"
2020,"South Alabama","SBC"
2010,"South Carolina","SEC"
2011,"South Carolina","SEC"
2012,"South Carolina","SEC"
2013,"South Carolina","SEC"
2014,"South Carolina","SEC"
2015,"South Carolina","SEC"
2016,"South Carolina","SEC"
2017,"South Carolina","SEC"
2018,"South Carolina","SEC"
2019,"South Carolina","SEC"
2020,"South Carolina","SEC"
2010,"South Dakota State","Summ"
2011,"South Dakota State","Summ"
2012,"South Dakota State","Summ"
2013,"South Dakota State","Summ"
2014,"South Dakota State","Summ"
2015,"South Dakota State","Summ"
2016,"South Dakota State","Summ"
2017,"South Dakota State","Summ"
2018,"South Dakota State","Summ"
2019,"South Dakota State","Summ"
2020,"South Dakota State","Summ"
2010,"South Florida","BigEast"
2011,"South Florida","BigEast"
2012,"South Florida","BigEast"
2013,"South Florida","BigEast"
2014,"South Florida","AAC"
2015,"South Florida","AAC"
2016,"South Florida","AAC"
2017,"South Florida","AAC"
2018,"South Florida","AAC"
2019,"South Florida","AAC"
2020,"South Florida","AAC"
2010,"Southern","SWAC"
2011,"Southern","SWAC"
2012,"Southern","SWAC"
2013,"Southern","SWAC"
2014,"Southern","SWAC"
2015,"Southern","SWAC"
2016,"Southern","SWAC"
2017,"Southern","SWAC"
2018,"Southern","SWAC"
2019,"Southern","SWAC"
2020,"Southern","SWAC"
2010,"Southern Illinois","MVC"
2011,"Southern Illinois","MVC"
2012,"Southern Illinois","MVC"
2013,"Southern Illinois","MVC"
2014,"Southern Illinois","MVC"
2015,"Southern Illinois","MVC"
2016,"Southern Illinois","MVC"
2017,"Southern Illinois","MVC"
2018,"Southern Illinois","MVC"
2019,"Southern Illinois","MVC"
2020,"Southern Illinois","MVC"
2010,"Southern Miss","ConfUSA"
2011,"Southern Miss","ConfUSA"
2012,"Southern Miss","ConfUSA"
2013,"Southern Miss","ConfUSA"
2014,"Southern Miss","ConfUSA"
2015,"Southern Miss","ConfUSA"
2016,"Southern Miss","ConfUSA"
2017,"Southern Miss","ConfUSA"
2018,"Southern Miss","ConfUSA"
2019,"Southern Miss","ConfUSA"
2020,"Southern Miss","ConfUSA"
2010,"Southern Utah","Summ"
2011,"Southern Utah","Summ"
2012,"Southern Utah","Summ"
2010,"St. Bonaventure","Atl10"
2011,"St. Bonaventure","Atl10"
2012,"St. Bonaventure","Atl10"
2013,"St. Bonaventure","Atl10"
2014,"St. Bonaventure","Atl10"
2015,"St. Bonaventure","Atl10"
2016,"St. Bonaventure","Atl10"
2017,"St. Bonaventure","Atl10"
2018,"St. Bonaventure","Atl10"
2019,"St. Bonaventure","Atl10"
2020,"St. Bonaventure","Atl10"
2010,"St. John's","BigEast"
2011,"St. John's","BigEast"
2012,"St. John's","BigEast"
2013,"St. John's","BigEast"
2014,"St. John's","BigEast"
2015,"St. John's","BigEast"
2016,"St. John's","BigEast"
2017,"St. John's","BigEast"
2018,"St. John's","BigEast"
2019,"St. John's","BigEast"
2020,"St. John's","BigEast"
2010,"St. Mary's (CA)","WCC"
